"%1 Shopping Cart","%1 Shopping Cart"
"Load customer quotes error","Load customer quotes error"
"Select Shopping Cart","Select Shopping Cart"
"We don't have as many of some products as you want.","We don't have as many of some products as you want."
"We don't have some of the products you want.","We don't have some of the products you want."
